Time,Indoor_temperature
2025-05-25 00:08:24,25.64
2025-05-25 00:15:37,26.13
2025-05-25 00:15:48,26.18
2025-05-25 00:22:31,26.38
2025-05-25 00:32:16,26.74
2025-05-25 01:08:21,27.14
2025-05-25 01:13:54,27.24
2025-05-25 01:35:13,27.3
2025-05-25 02:03:05,27.26
2025-05-25 02:06:06,27.28
2025-05-25 02:42:32,27.31
2025-05-25 02:55:17,27.31
2025-05-25 02:57:59,27.35
2025-05-25 03:09:04,27.35
2025-05-25 03:55:43,27.3
2025-05-25 04:46:25,27.26
2025-05-25 05:03:52,27.2
2025-05-25 05:13:47,27.26
2025-05-25 05:32:35,27.17
2025-05-25 05:39:38,27.18
2025-05-25 06:07:30,27.1
2025-05-25 06:31:40,27.09
2025-05-25 06:55:20,27.09
2025-05-25 07:13:48,27.06
2025-05-25 07:25:03,27.14
2025-05-25 07:25:54,27.09
2025-05-25 08:12:13,27.07
2025-05-25 08:16:56,27.07
2025-05-25 08:37:05,27.03
2025-05-25 09:08:38,27.07
2025-05-25 10:01:20,27.11
2025-05-25 10:07:33,27.11
2025-05-25 11:01:16,27.24
2025-05-25 11:03:27,27.23
2025-05-25 11:15:23,27.27
2025-05-25 11:26:18,27.3
2025-05-25 11:46:46,27.38
2025-05-25 11:56:10,27.37
2025-05-25 12:00:23,27.43
2025-05-25 12:07:06,27.51
2025-05-25 12:21:02,27.58
2025-05-25 12:26:14,27.04
2025-05-25 12:29:46,26.54
2025-05-25 12:40:00,26.03
2025-05-25 12:52:16,25.53
2025-05-25 12:53:06,25.54
2025-05-25 13:17:48,25.27
2025-05-25 13:50:22,25.32
2025-05-25 13:52:23,25.27
2025-05-25 14:00:47,25.16
2025-05-25 14:28:09,25.32
2025-05-25 14:52:40,25.27
2025-05-25 15:09:28,25.19
2025-05-25 15:34:19,25.25
2025-05-25 15:44:14,25.56
2025-05-25 15:49:26,25.68
2025-05-25 15:53:59,25.48
2025-05-25 16:58:17,25.74
2025-05-25 17:28:41,25.61
2025-05-25 17:46:48,25.2
2025-05-25 17:54:33,25.11
2025-05-25 18:13:41,24.98
2025-05-25 18:40:03,24.92
2025-05-25 18:58:42,25.43
2025-05-25 19:08:16,25.47
2025-05-25 19:45:53,25.43
2025-05-25 20:01:50,25.29
2025-05-25 20:23:20,25.36
2025-05-25 20:41:48,25.27
2025-05-25 21:11:52,24.84
2025-05-25 21:22:37,24.81
2025-05-25 21:39:55,24.85
2025-05-25 22:31:07,24.69
2025-05-25 22:42:43,24.3
2025-05-25 23:02:23,24.2
2025-05-25 23:17:50,24.71
2025-05-25 23:29:05,25.06
2025-05-25 23:32:47,25.26
2025-05-26 00:22:49,25.47
2025-05-26 00:30:03,25.61
2025-05-26 01:16:53,25.23
2025-05-26 01:26:58,25.11
2025-05-26 01:47:28,25.13
2025-05-26 02:13:19,25.4
2025-05-26 02:16:01,25.37
2025-05-26 02:48:55,25.34
2025-05-26 02:59:10,25.34
2025-05-26 03:13:57,25.3
2025-05-26 03:33:36,25.36
2025-05-26 04:07:31,25.4
2025-05-26 04:16:26,25.34
2025-05-26 05:05:58,25.27
2025-05-26 05:45:05,25.22
2025-05-26 06:04:24,25.18
2025-05-26 06:14:29,25.18
2025-05-26 06:44:53,25.18
2025-05-26 06:59:19,25.13
2025-05-26 07:24:11,25.26
2025-05-26 07:57:56,25.34
2025-05-26 08:16:34,25.78
2025-05-26 08:56:52,25.98
2025-05-26 09:13:30,26.02
2025-05-26 09:41:52,25.47
2025-05-26 09:55:08,25.11
2025-05-26 09:57:29,24.95
2025-05-26 10:28:23,25.22
2025-05-26 10:41:39,25.11
2025-05-26 10:50:13,25.01
2025-05-26 11:02:09,24.57
2025-05-26 11:41:47,25.08
2025-05-26 11:43:08,25.02
2025-05-26 11:54:53,24.87
2025-05-26 12:18:54,25.25
2025-05-26 12:28:18,25.43
2025-05-26 12:38:13,25.2
2025-05-26 13:00:13,25.15
2025-05-26 13:12:38,25.63
2025-05-26 13:25:14,25.68
2025-05-26 13:32:38,25.89
2025-05-26 13:46:34,25.88
2025-05-26 14:06:43,25.5
2025-05-26 14:20:09,25.63
2025-05-26 14:28:33,25.44
2025-05-26 14:30:15,25.47
2025-05-26 14:41:50,25.61
2025-05-26 14:56:56,25.74
2025-05-26 15:06:11,25.75
2025-05-26 15:27:20,26.0
2025-05-26 15:31:22,25.92
2025-05-26 15:57:54,25.89
2025-05-26 16:19:43,25.79
2025-05-26 16:20:54,25.79
2025-05-26 17:16:49,25.67
2025-05-26 17:35:57,25.74
2025-05-26 18:08:01,25.54
2025-05-26 18:39:36,25.53
2025-05-26 19:00:45,25.41
2025-05-26 19:20:54,25.72
2025-05-26 19:32:50,25.44
2025-05-26 19:53:59,25.46
2025-05-26 19:57:11,25.41
2025-05-26 20:27:25,25.06
2025-05-26 20:47:54,25.63
2025-05-26 20:50:15,25.89
2025-05-26 20:51:36,26.19
2025-05-26 20:55:28,26.69
2025-05-26 21:00:21,27.2
2025-05-26 21:06:13,27.7
2025-05-26 21:16:08,28.21
2025-05-26 21:21:10,27.65
2025-05-26 21:23:21,27.14
2025-05-26 21:25:52,26.62
2025-05-26 21:29:14,26.09
2025-05-26 21:35:37,25.56
2025-05-26 21:48:43,25.18
2025-05-26 21:52:45,25.05
2025-05-26 22:28:01,24.54
2025-05-26 22:44:09,24.44
2025-05-26 23:40:54,24.2
2025-05-26 23:46:38,24.12
2025-05-26 23:52:20,24.67
2025-05-26 23:55:32,25.2
2025-05-26 23:59:04,25.72
2025-05-27 00:03:46,26.27
2025-05-27 00:09:49,26.81
2025-05-27 00:19:33,27.33
2025-05-27 00:33:29,27.72
2025-05-27 00:37:21,27.86
2025-05-27 00:55:19,28.07
2025-05-27 01:24:11,28.21
2025-05-27 01:50:02,28.27
2025-05-27 01:54:34,28.31
2025-05-27 02:14:42,28.34
2025-05-27 02:26:28,28.34
2025-05-27 02:52:08,28.34
2025-05-27 03:11:16,28.38
2025-05-27 03:31:56,28.27
2025-05-27 04:06:20,28.25
2025-05-27 04:09:51,28.21
2025-05-27 05:02:23,28.17
2025-05-27 05:12:48,28.12
2025-05-27 05:32:16,28.1
2025-05-27 06:00:28,28.04
2025-05-27 06:35:53,28.02
2025-05-27 06:56:51,28.07
2025-05-27 06:57:02,28.07
2025-05-27 07:04:46,28.07
2025-05-27 07:31:16,28.21
2025-05-27 07:52:45,28.2
2025-05-27 07:53:36,28.21
2025-05-27 08:19:17,27.68
2025-05-27 08:21:48,27.17
2025-05-27 08:26:00,26.65
2025-05-27 08:32:03,26.15
2025-05-27 08:37:46,25.63
2025-05-27 08:46:50,25.2
2025-05-27 08:49:42,25.08
2025-05-27 09:37:23,25.48
2025-05-27 09:42:06,25.6
2025-05-27 10:22:03,25.59
2025-05-27 10:32:28,25.59
2025-05-27 10:35:40,25.38
2025-05-27 10:45:14,25.38
2025-05-27 11:26:43,25.54
2025-05-27 11:30:25,25.59
2025-05-27 12:15:55,25.46
2025-05-27 12:21:18,25.47
2025-05-27 12:54:03,25.6
2025-05-27 13:16:32,25.77
2025-05-27 13:32:20,25.68
2025-05-27 14:04:24,25.43
2025-05-27 14:08:56,25.43
2025-05-27 14:28:35,25.38
2025-05-27 14:58:59,25.16
2025-05-27 14:59:39,25.15
2025-05-27 15:37:26,25.13
2025-05-27 15:51:43,25.18
2025-05-27 16:07:21,25.02
2025-05-27 16:45:38,25.27
2025-05-27 16:57:23,25.3
2025-05-27 17:09:19,25.16
2025-05-27 17:18:53,25.16
2025-05-27 17:43:45,25.25
2025-05-27 17:54:40,25.12
2025-05-27 18:10:57,25.37
2025-05-27 18:38:30,25.48
2025-05-27 18:44:53,25.57
2025-05-27 19:29:32,25.43
2025-05-27 19:35:15,25.53
2025-05-27 20:32:00,25.29
2025-05-27 20:40:25,25.27
2025-05-27 21:14:20,24.84
2025-05-27 21:28:26,24.77
2025-05-27 21:45:04,24.82
2025-05-27 21:55:29,24.78
2025-05-27 22:01:22,24.88
2025-05-27 22:06:45,24.89
2025-05-27 22:27:44,24.92
2025-05-27 22:36:19,24.89
2025-05-27 22:55:07,24.95
2025-05-27 23:20:08,24.82
2025-05-27 23:26:31,24.71
2025-05-28 00:07:30,24.81
2025-05-28 00:22:07,24.74
2025-05-28 00:27:40,24.81
2025-05-28 00:57:24,24.63
2025-05-28 01:16:32,24.47
2025-05-28 01:28:38,24.59
2025-05-28 01:43:35,24.56
2025-05-28 02:15:30,24.47
2025-05-28 02:22:13,24.33
2025-05-28 02:59:10,24.82
2025-05-28 03:13:27,24.87
2025-05-28 04:11:03,25.15
2025-05-28 04:16:16,25.19
2025-05-28 04:22:19,25.13
2025-05-28 05:00:16,25.15
2025-05-28 05:05:18,25.16
2025-05-28 05:24:07,25.18
2025-05-28 05:36:32,25.12
2025-05-28 05:45:26,25.13
2025-05-28 06:03:45,25.12
2025-05-28 06:16:21,25.04
2025-05-28 06:46:34,25.02
2025-05-28 07:03:22,24.94
2025-05-28 07:57:27,25.06
2025-05-28 08:00:28,25.06
2025-05-28 08:13:24,25.18
2025-05-28 08:20:58,25.23
2025-05-28 08:42:48,25.3
2025-05-28 08:59:56,25.43
2025-05-28 09:20:15,25.63
2025-05-28 09:57:01,25.25
2025-05-28 10:29:16,25.12
2025-05-28 10:49:55,25.15
2025-05-28 11:22:20,25.5
2025-05-28 11:42:39,25.57
2025-05-28 12:14:34,25.72
2025-05-28 12:42:46,25.64
2025-05-28 12:45:58,25.61
2025-05-28 12:51:31,25.65
2025-05-28 13:00:55,25.64
2025-05-28 13:36:51,25.67
2025-05-28 13:53:49,25.53
2025-05-28 14:34:57,25.65
2025-05-28 14:50:44,25.64
2025-05-28 15:23:59,25.98
2025-05-28 15:27:21,25.92
2025-05-28 15:56:34,25.47
2025-05-28 16:26:47,25.48
2025-05-28 16:36:12,25.54
2025-05-28 16:44:26,25.57
2025-05-28 17:20:12,25.53
2025-05-28 17:46:34,25.7
2025-05-28 18:02:31,25.82
2025-05-28 18:06:53,25.79
2025-05-28 18:17:08,25.91
2025-05-28 18:22:21,25.81
2025-05-28 19:08:41,25.38
2025-05-28 19:14:54,25.3
2025-05-28 19:30:32,25.37
2025-05-28 19:37:35,25.36
2025-05-28 19:47:39,25.47
2025-05-28 20:07:28,25.6
2025-05-28 20:38:02,25.75
2025-05-28 21:00:42,25.88
2025-05-28 21:11:28,25.6
2025-05-28 21:26:14,25.33
2025-05-28 21:36:19,25.19
2025-05-28 21:41:42,25.22
2025-05-28 21:47:55,25.15
2025-05-28 21:55:28,25.06
2025-05-28 22:12:16,25.01
2025-05-28 22:44:31,25.12
2025-05-28 22:53:15,25.19
2025-05-28 23:43:47,25.37
2025-05-29 00:25:06,25.46
2025-05-29 00:35:41,25.46
2025-05-29 00:56:10,25.48
2025-05-29 01:32:16,25.43
2025-05-29 01:42:41,25.48
2025-05-29 02:05:11,25.46
2025-05-29 02:24:10,25.43
2025-05-29 02:51:32,25.44
2025-05-29 03:18:35,25.3
2025-05-29 04:13:50,24.96
2025-05-29 04:15:21,24.94
2025-05-29 05:07:14,24.84
2025-05-29 05:18:40,24.87
2025-05-29 05:56:57,24.79
2025-05-29 05:59:08,24.77
2025-05-29 06:11:04,24.74
2025-05-29 06:50:42,24.73
2025-05-29 06:55:45,24.73
2025-05-29 07:17:05,24.78
2025-05-29 07:48:39,25.05
2025-05-29 08:01:35,24.88
2025-05-29 08:31:19,25.4
2025-05-29 08:46:56,25.57
2025-05-29 08:49:58,25.68
2025-05-29 09:35:47,26.19
2025-05-29 09:42:30,26.27
2025-05-29 10:30:11,26.38
2025-05-29 10:36:44,26.13
2025-05-29 10:38:06,25.86
2025-05-29 10:42:18,25.33
2025-05-29 10:51:32,24.82
2025-05-29 11:19:05,24.84
2025-05-29 11:34:01,24.81
2025-05-29 11:57:53,24.7
2025-05-29 12:26:56,24.79
2025-05-29 12:31:09,24.75
2025-05-29 12:47:36,25.27
2025-05-29 13:00:32,25.48
2025-05-29 13:18:00,25.63
2025-05-29 13:24:03,25.65
2025-05-29 13:51:35,25.3
2025-05-29 14:10:13,24.94
2025-05-29 14:16:27,25.01
2025-05-29 14:24:51,25.51
2025-05-29 14:38:27,25.89
2025-05-29 14:51:53,26.43
2025-05-29 15:00:37,26.47
2025-05-29 15:00:47,26.47
2025-05-29 15:19:56,26.34
2025-05-29 15:33:11,25.82
2025-05-29 15:53:10,25.41
2025-05-29 15:59:34,25.6
2025-05-29 16:22:24,25.77
2025-05-29 16:42:53,25.79
2025-05-29 16:47:15,25.77
2025-05-29 17:20:30,25.93
2025-05-29 17:34:26,25.86
2025-05-29 17:44:21,26.13
2025-05-29 17:59:37,26.38
2025-05-29 18:37:44,26.61
2025-05-29 18:59:13,26.52
2025-05-29 19:16:11,26.0
2025-05-29 19:29:47,25.91
2025-05-29 20:13:26,25.5
2025-05-29 20:25:41,25.37
2025-05-29 20:43:20,25.56
2025-05-29 21:01:08,25.65
2025-05-29 21:23:37,25.67
2025-05-29 21:35:44,25.41
2025-05-29 22:12:50,25.33
2025-05-29 22:18:42,25.3
2025-05-29 23:13:37,25.67
2025-05-29 23:14:58,25.64
2025-05-29 23:21:01,26.24
2025-05-29 23:28:04,26.76
2025-05-29 23:38:49,27.28
2025-05-30 00:00:28,27.79
2025-05-30 00:09:02,27.87
2025-05-30 00:22:28,28.03
2025-05-30 00:52:01,28.11
2025-05-30 01:05:46,28.14
2025-05-30 01:11:50,28.17
2025-05-30 01:39:41,28.08
2025-05-30 02:05:42,28.1
2025-05-30 03:02:46,28.02
2025-05-30 03:47:25,27.89
2025-05-30 04:00:01,27.89
2025-05-30 04:10:56,27.87
2025-05-30 04:59:56,27.73
2025-05-30 05:47:06,27.58
2025-05-30 05:50:38,27.58
2025-05-30 06:48:12,27.44
2025-05-30 06:57:07,27.47
2025-05-30 07:28:30,27.97
2025-05-30 07:40:45,27.82
2025-05-30 07:44:47,27.83
2025-05-30 08:24:24,28.35
2025-05-30 08:43:42,28.45
2025-05-30 08:45:44,27.82
2025-05-30 08:47:35,27.28
2025-05-30 08:50:27,26.78
2025-05-30 08:54:19,26.27
2025-05-30 09:00:01,25.72
2025-05-30 09:06:34,25.19
2025-05-30 09:38:59,25.32
2025-05-30 09:42:11,25.19
2025-05-30 10:23:30,24.98
2025-05-30 10:29:53,24.87
2025-05-30 10:42:59,25.19
2025-05-30 11:05:19,25.54
2025-05-30 11:24:07,25.57
2025-05-30 11:37:24,25.51
2025-05-30 11:58:43,25.53
2025-05-30 12:09:39,25.85
2025-05-30 12:14:41,25.95
2025-05-30 12:20:34,25.75
2025-05-30 12:39:12,25.61
2025-05-30 12:59:11,25.71
2025-05-30 13:06:35,25.68
2025-05-30 13:21:52,25.6
2025-05-30 13:37:19,25.75
2025-05-30 13:58:59,25.25
2025-05-30 14:03:11,25.46
2025-05-30 14:24:21,24.87
2025-05-30 14:36:47,24.78
2025-05-30 14:53:15,24.95
2025-05-30 15:03:09,24.98
2025-05-30 15:08:12,24.99
2025-05-30 15:36:45,24.85
2025-05-30 15:51:12,24.85
2025-05-30 16:01:57,24.67
2025-05-30 16:32:31,24.47
2025-05-30 16:53:41,24.66
2025-05-30 16:58:23,24.63
2025-05-30 17:09:59,25.18
2025-05-30 17:35:50,25.68
2025-05-30 17:55:49,25.18
2025-05-30 17:58:51,25.16
2025-05-30 18:21:51,25.68
2025-05-30 18:55:16,25.79
2025-05-30 19:12:14,26.19
2025-05-30 19:24:09,25.68
2025-05-30 19:49:00,25.26
2025-05-30 19:56:44,25.19
2025-05-30 20:03:07,25.23
2025-05-30 20:44:15,25.18
2025-05-30 20:48:08,25.2
2025-05-30 20:54:01,25.75
2025-05-30 20:57:23,25.23
2025-05-30 21:01:55,24.7
2025-05-30 21:06:47,24.39
2025-05-30 21:32:49,23.88
2025-05-30 21:38:32,23.87
2025-05-30 21:42:14,23.83
2025-05-30 22:10:58,24.29
2025-05-30 22:19:12,24.79
2025-05-30 22:34:39,24.69
2025-05-30 22:38:52,24.56
2025-05-30 22:46:25,24.47
2025-05-30 22:50:18,25.02
2025-05-30 22:53:29,25.53
2025-05-30 22:57:11,26.03
2025-05-30 23:00:53,26.54
2025-05-30 23:06:06,27.06
2025-05-30 23:13:49,27.56
2025-05-30 23:25:44,28.08
2025-05-30 23:28:16,28.15
2025-05-30 23:39:00,28.45
